#Manually made lookup from author provided info to the canonical institute name.,
#The order matters here, the matching starts at the top of the list and stops when something is found.
#Ignore The, so The University of Bristol is University of Bristol.
#Group alphabetically by the main name, so all variations of Bristol should be in B.
#,
#Do email addresses first - they are much more structured than postal addresses, and usually people have one.
Elsie Widdowson Laboratory,MRC Human Nutrition Research
University of Munich,Ludwig Maximilian University of Munich
#N,
National Institute of Economic and Social Research,National Institute of Economic and Social Research
Newcastle University,Newcastle University
University of Newcastle,Newcastle University
Wellcome Centre for Mitochondrial Research,Newcastle University
University of Nottingham,University of Nottingham
#O,
Botnar Research Centre,University of Oxford
"Nuffield College, Oxford",University of Oxford
Nuffield College,University of Oxford
University of Oxford,University of Oxford
"Wellcome Trust Centre for Human Genetics, Oxford",University of Oxford
"Oxford Centre for Diabetes, Endocrinology and Metabolism",University of Oxford
"Department of Clinical Pharmacology, Oxford",University of Oxford
#P,
Peninsula,Peninsula College of Medicine and Dentistry
Plymouth,University of Plymouth
#Q,
Queen's University,"Queen's University Belfast"
Queen Mary University,Queen Mary University of London
Queen Mary's School of Medicine and Dentistry,Queen Mary University of London
Wolfson Institute of Preventive Medicine,Queen Mary University of London
Barts and The London School of Medicine and Dentistry,Queen Mary University of London
#R,
The University of Reading,The University of Reading
#S,
University of Sheffield,University of Sheffield
University of Southampton,University of Southampton
University of St Andrews,University of St Andrews
University of Strathclyde,University of Strathclyde
University of Stirling,University of Stirling
Stirling University,University of Stirling
University of Surrey,University of Surrey
University of Sussex,University of Sussex
Sheffield Hallam University,Sheffield Hallam University
Swansea University,Swansea University
#U,
UCL,University College London
University College London,University College London
"University College, London",University College London
"Institute of Child Health, 30 Guilford Street",University College London
"Institute of Child Health, University of London",University College London
"Institute of Child Health, London",University College London
Royal Free and University College Hospital Medical School,University College London
Medical Research Council National Survey of Health and Development,University College London
University of East Anglia,University of East Anglia
Ulster University,Ulster University
#V,
Centre for Research in Epidemiology and Population Health - Villejuif,Centre for research in epidemiology and population health
#W,
University of Warwick,University of Warwick
Wellcome Trust Sanger Institute,Wellcome Sanger Institute
Wellcome Trust,Wellcome Trust
University of the West of England,"University of the West of England, Bristol"
University of Wolverhampton,University of Wolverhampton
#Y,
University of York,University of York
,
,
################################################################################################,
#UK hospitals,
Addenbrooke's Hospital,Addenbrooke's Hospital
Addenbrooke's NHS Foundation Trust,Addenbrooke's Hospital
University Hospital of Birmingham,University Hospital of Birmingham
Black Country NHS Foundation Trust,Black Country Healthcare NHS Foundation Trust
Bradford District Care NHS Foundation Trust,Bradford District Care NHS Foundation Trust
Bristol Royal Hospital for Children,Bristol Royal Hospital for Children
Royal Hospital for Sick Children,Bristol Royal Hospital for Children
Bristol Children's Hospital,Bristol Royal Hospital for Children
Bristol Oncology Centre,Bristol Royal Hospital for Children
Bristol Homeopathic Hospital,Bristol Homeopathic Hospital
Bristol Royal Infirmary,Bristol Royal Infirmary
University of British Columbia,University of British Columbia
"University Dental Hospital, Heath Park",Cardiff Hospital
Cheshire and Wirral Partnership NHS Foundation Trust,Cheshire and Wirral Partnership NHS Foundation Trust
East Lancashire Hospitals NHS Trust,East Lancashire Hospitals NHS Trust
Frenchay Hospital,Frenchay Hospital
Great Ormond Street Hospital,Great Ormond Street Hospital
Guy's and St Thomas',Guy's and St Thomas' NHS Foundation Trust
Guy's Hospital,Guy's and St Thomas' NHS Foundation Trust
Homerton University Hospital,Homerton University Hospital
John Radcliffe Hospital,John Radcliffe Hospital
Lancashire and South Cumbria NHS Foundation Trust,Lancashire and South Cumbria NHS Foundation Trust
